config,target,trial,core_number,execs_sec,execs_done,run_time
aflplusplus_nothing4,re2_fuzzer,65,0,6786.908381280463,555583107,81861
aflplusplus_nothing4,re2_fuzzer,66,0,6866.251413982238,562078207,81861
aflplusplus_nothing4,re2_fuzzer,69,0,6933.194979539486,567586007,81865
aflplusplus_nothing4,re2_fuzzer,78,0,7093.777190046299,580689507,81859
aflplusplus_nothing4,re2_fuzzer,73,0,6924.897780438049,566892907,81863
aflplusplus_nothing4,re2_fuzzer,71,0,7001.446475036343,573131407,81859
aflplusplus_nothing4,re2_fuzzer,70,0,6685.654166106789,547307707,81863
aflplusplus_nothing4,re2_fuzzer,62,0,6755.55211209108,553023007,81862
aflplusplus_nothing5,re2_fuzzer,86,0,6920.546641745462,566502107,81858
aflplusplus_nothing5,re2_fuzzer,97,0,6813.785985658266,557769707,81859
aflplusplus_nothing5,re2_fuzzer,83,0,6875.739412447322,562882407,81865
aflplusplus_nothing5,re2_fuzzer,88,0,6818.086517320565,558183107,81868
aflplusplus_nothing5,re2_fuzzer,92,0,7036.223684049792,575992307,81861
aflplusplus_nothing5,re2_fuzzer,90,0,6774.015477644759,554520907,81860
aflplusplus_nothing5,re2_fuzzer,96,0,6891.611065638858,564126607,81857
aflplusplus_nothing5,re2_fuzzer,95,0,7083.344820425116,579842607,81860
aflplusplus_nothing5,re2_fuzzer,89,0,7000.017188301693,573007407,81858
aflplusplus_nothing5,re2_fuzzer,94,0,7111.000574150989,582106507,81860
aflplusplus_nothing5,re2_fuzzer,91,0,6791.394349164468,555970707,81864
aflplusplus_nothing5,re2_fuzzer,98,0,6717.10936698346,549876007,81862
aflplusplus_nothing5,re2_fuzzer,87,0,6883.416286939419,563455807,81857
aflplusplus_nothing5,re2_fuzzer,82,0,7034.78258798236,575888407,81863
aflplusplus_nothing5,re2_fuzzer,85,0,6996.726083291594,572731007,81857
aflplusplus_nothing5,re2_fuzzer,93,0,7141.559352056585,584600907,81859
aflplusplus_nothing5,re2_fuzzer,81,0,6876.241809386529,562902907,81862
aflplusplus_nothing5,re2_fuzzer,100,0,6826.245794700773,558803307,81861
aflplusplus_nothing5,re2_fuzzer,84,0,6958.572334265786,569649607,81863
aflplusplus_nothing5,re2_fuzzer,99,0,6827.96715002993,558916907,81857
aflplusplus_nothing1,re2_fuzzer,7,0,6871.259552895187,562481307,81860
aflplusplus_nothing1,re2_fuzzer,9,0,6723.667387374182,550426307,81864
aflplusplus_nothing1,re2_fuzzer,19,0,6915.897765724826,566142307,81861
aflplusplus_nothing1,re2_fuzzer,16,0,6909.854474603601,565654507,81862
aflplusplus_nothing1,re2_fuzzer,10,0,6963.1249328121185,570001407,81860
aflplusplus_nothing1,re2_fuzzer,20,0,6903.427679716607,565149107,81865
aflplusplus_nothing1,re2_fuzzer,4,0,6971.106500201566,570647807,81859
aflplusplus_nothing1,re2_fuzzer,12,0,6727.58064791967,550733207,81862
aflplusplus_nothing1,re2_fuzzer,15,0,7097.617998802849,581018107,81861
aflplusplus_nothing1,re2_fuzzer,5,0,6857.088142591869,561293807,81856
aflplusplus_nothing1,re2_fuzzer,11,0,6927.751667440327,567119607,81862
aflplusplus_nothing1,re2_fuzzer,8,0,6846.264530551416,560448907,81862
aflplusplus_nothing1,re2_fuzzer,1,0,6915.308115173652,566080207,81859
aflplusplus_nothing1,re2_fuzzer,13,0,6928.592978512881,567195407,81863
aflplusplus_nothing1,re2_fuzzer,6,0,6882.648933571132,563427407,81862
aflplusplus_nothing1,re2_fuzzer,17,0,6777.853877541048,554808007,81856
aflplusplus_nothing1,re2_fuzzer,18,0,7031.76857111445,575627607,81861
aflplusplus_nothing1,re2_fuzzer,3,0,7008.37627499603,573726707,81863
aflplusplus_nothing1,re2_fuzzer,2,0,7039.520992389725,576276307,81863
aflplusplus_nothing1,re2_fuzzer,14,0,6776.134658375988,554687607,81859
